GEF_ID,Agency,Region,Country,Title,GEF replenishment phase,Status,GEF4 SP list,GEF_ProjectGrant_CALC,CoFinance_CALC,Endorced/Approved Date,Actual date of implementation start,Date_start_CALC,Date_start_year
2641,World Bank,LAC,Brazil,Sustainable Cerrado Initiative,,,," 13,000,000 "," 5,440,000 ",,,0-Jan-00,1900
2764,World Bank,LAC,Brazil,National B Mainstreaming and  Institutional Consolidation Project,,,," 22,000,000 "," 20,309,783 ",,,0-Jan-00,1900
2765,World Bank,LAC,Brazil,Espirito Santo Biodiversity and Watershed Conservation and Restoration Project,,,," 4,000,000 "," 8,200,000 ",27-Aug-08,,27-Aug-08,2008
2817,World Bank,LAC,Brazil,Tabuleiro State Park: Conservation of B and Ecosystem Rehabilitation,,,," 973,734 "," 1,310,702 ",,,0-Jan-00,1900
4085,World Bank,LAC,Brazil,Amazon Region Protected Areas Program Phase 2,,,," 15,890,000 "," 70,000,000 ",,,0-Jan-00,1900
9664,World Bank,LAC,Brazil,Amazon Sustainable Landscapes Project,,,," 60,330,000 "," 373,784,646 ",22-Aug-17,,22-Aug-17,2017
4543,UNEP,Global,"Global (Brazil, Indonesia, Mexico, Congo DR)",The GLOBE Legislator Forest Initiative,,,," 1,000,000 "," 1,187,050 ",,,0-Jan-00,1900
277,UNDP,Global,"Global (Brazil, Cameroon, Indonesia, Peru, Thailand)",Global Alternatives to Slash and Burn Agriculture Phase II,,,," 2,941,000 "," 3,535,000 ",4-Jun-96,,4-Jun-96,1996
9441,Multi-Agency,LAC,Colombia,Contributing to the Integrated Management of Biodiversity of the Pacific Region of Colombia to Build Peace,,,," 7,562,558 "," 35,300,000 ",,,0-Jan-00,1900
4135,IADB,LAC,Colombia,Mechanism for Voluntary Mitigation of Greenhouse Gas Emissions in Colombia,,,," 2,700,000 "," 7,923,900 ",,,0-Jan-00,1900
366,UNDP,LAC,Colombia,Conservation of B in the Choco Biogeographic Region,,,," 6,000,000 "," 2,000,000 ",11-Sep-02,,11-Sep-02,2002
925,UNDP,LAC,Colombia,"Conservation of  Montane Forest and Paramo in the Colombian Massif, Phase I",,,," 4,000,000 "," 2,778,570 ",8-Mar-04,,8-Mar-04,2004
4111,UNDP,LAC,Colombia,Institutional and Policy Strengthening to Increase Biodiversity Conservation on Production Lands (PL),,,," 974,727 "," 2,161,001 ",,,0-Jan-00,1900
4772,UNDP,LAC,Colombia,Conservation and Sustainable Use of Biodiversity in Dry Ecosystems to Guarantee the Flow of Ecosystem Services and to Mitigate the Processes of Deforestation and Desertification,,,," 8,787,819 "," 26,935,000 ",14-Nov-13,,14-Nov-13,2013
625,World Bank,LAC,Colombia,Sustainable Use of B in the Western Slope of the Serrania del Baudo,,,," 725,000 "," 4,900,000 ",11-Apr-02,,11-Apr-02,2002
774,World Bank,LAC,Colombia,Conservation and Sustainable Use of Biodiversity in the Andes Region,,,," 15,000,000 "," 15,000,000 ",12-Feb-01,,12-Feb-01,2001
1020,World Bank,LAC,Colombia,Conservation and Sustainable Development of the Mataven Forest,,,," 725,000 "," 9,122,500 ",14-Dec-05,,14-Dec-05,2005
1876,World Bank,LAC,Colombia,Naya Biological Corridor in the Munchique-Pinche Sector,,,," 725,000 "," 135,350,000 ",,,0-Jan-00,1900
2551,World Bank,LAC,Colombia,Colombian National Protected Areas Conservation Trust Fund,,,," 15,000,000 "," 350,000 ",,,0-Jan-00,1900
3886,World Bank,LAC,Colombia,Colombian National Protected Areas Conservation Trust Fund – Additional Financing for the Sustainability of the Macizo Regional Protected Area System (SIRAPM),,,," 4,000,000 "," 11,254,338 ",27-May-11,,27-May-11,2011
5560,World Bank,LAC,Colombia,Forest Conservation and Sustainability in the Heart of the Colombian Amazon,,,," 10,400,000 "," 32,874,988 ",6-Nov-14,,6-Nov-14,2014
9663,Multi-Agency,LAC,Colombia,Colombia:  Connectivity and Biodiversity Conservation in the Colombian Amazon ,,,," 21,000,000 "," 107,209,924 ",5-Sep-17,,5-Sep-17,2017
5547,FAO,AFR,Congo DR,Community-Based Miombo Forest Management in South East Katanga,,,," 4,533,333 "," 14,491,594 ",10-Mar-16,,10-Mar-16,2016
248,UNDP,AFR,Congo DR,Rehabilitation of Protected Areas in the Democratic Republic of the Congo,,,," 6,307,441 "," 13,644,000 ",10-Dec-01,,10-Dec-01,2001
2906,UNDP,AFR,"Regional (Central African Republic, Congo, Cameroon, Gabon, Congo DR)",CBSP Sustainable Financing of Protected Area Systems in the Congo Basin,,,," 8,181,818 "," 26,397,000 ",,,0-Jan-00,1900
3750,UNDP,AFR,"Regional (Congo, Congo DR)",CBSP Catalyzing Sustainable Forest Management in the Lake Tele-Lake Tumba (LTLT) Transboundary Wetland Landscape,,,," 2,172,726 "," 3,040,000 ",13-May-10,,13-May-10,2010
3822,UNEP,AFR,"Regional (Central African Republic, Congo, Cameroon, Gabon, Equatorial Guinea, Congo DR)",CBSP - A Regional Focus on Sustainable Timber Management in the Congo Basin,,,," 3,075,681 "," 13,843,067 ",,,0-Jan-00,1900
47,World Bank,AFR,"Regional (Central African Republic, Congo, Cameroon, Gabon, Equatorial Guinea, Congo DR)",Regional Environment and Information Management Project (REIMP),,,," 4,077,000 "," 15,850,000 ",3-Nov-97,,3-Nov-97,1997
3772,World Bank,AFR,Congo DR,CBSP Forest and Nature Conservation Project,,,," 6,000,000 "," 79,000,000 ",2-Mar-09,,2-Mar-09,2009
3779,World Bank,AFR,"Regional (Central African Republic, Congo, Cameroon, Gabon, Equatorial Guinea, Congo DR)",CBSP Enhancing Institutional Capacities on REDD issues for Sustainable Forest Management in the Congo Basin,,,," 13,000,000 "," 60,300,000 ",7-Jun-11,,7-Jun-11,2011
3960,World Bank,AFR,"Regional (Central African Republic, Congo, Cameroon, Gabon, Equatorial Guinea, Congo DR)",CBSP-Capacity Building for Regional Coordination of Sustainable Forest Management in the Congo Basin under the GEF Program for the Congo Basin,,,," 815,000 "," 3,026,000 ",,,0-Jan-00,1900
3367,IFAD,AFR,Ethiopia,SIP-Community-Based Integrated Natural Resources Management in Lake Tana Watershed,,,," 4,400,000 "," 133,340,800 ",,,0-Jan-00,1900
4091,UNEP,AFR,Ethiopia,Capacity Building for Access and Benefit Sharing and Conservation and Sustainable Use of Medicinal Plants,,,," 2,047,000 "," 2,025,000 ",,,0-Jan-00,1900
631,World Bank,AFR,Ethiopia,Conservation and Sustainable Use of Medicinal Plants,,,," 1,800,000 "," 1,394,700 ",20-Dec-06,,20-Dec-06,2006
4511,World Bank,AFR,"Regional (Burkina Faso, Benin, Ethiopia, Ghana, Mali, Mauritania, Niger, Nigeria, Sudan, Senegal, Chad, Togo)",Sahel and West Africa Program in Support of the Great Green Wall Initiative,,,," 100,759,259 "," 1,810,000,000 ",,,0-Jan-00,1900
5220,World Bank,AFR,Ethiopia,PSG: Sustainable Land Management Project 2,,,," 12,962,963 "," 94,655,517 ",29-Oct-13,,29-Oct-13,2013
368,UNDP,LAC,Guyana,Programme for Sustainable Forestry (Iwokrama Rain Forest Programme),,,," 3,000,000 "," 780,000 ",,,0-Jan-00,1900
3279,ADB,Asia,Indonesia,Citarum Watershed Management and Biodiversity Conservation Project,,,," 3,750,000 "," 26,225,064 ",4-Aug-10,,4-Aug-10,2010
3435,ADB,Asia,Indonesia,SFM Sustainable Forest and Biodiversity Management in Borneo,,,," 2,527,273 "," 6,950,000 ",,,0-Jan-00,1900
5764,IFAD,Asia,Indonesia,Sustainable Management of Peatland Ecosystems in Indonesia (SMPEI),,,," 4,766,756 "," 21,745,000 ",16-May-16,,16-May-16,2016
9239,IFAD,Asia,Indonesia,Integrated Management of Peatland Landscapes in Indonesia (IMPLI),,,," 4,895,872 "," 20,700,000 ",,,0-Jan-00,1900
2751,IFAD,Asia,"Regional (Indonesia, Malaysia, Philippines, Thailand, Vietnam, Singapore, Brunei)",SFM Rehabilitation and Sustainable Use of Peatland Forests in South-East Asia,,,," 4,299,164 "," 10,799,210 ",8-Aug-08,,8-Aug-08,2008
6965,UNDP,Asia,Indonesia,Strengthening Forest Area Planning and Management in Kalimantan ,,,," 9,000,000 "," 50,050,000 ",9-Jun-17,,9-Jun-17,2017
3443,UNDP,Asia,Indonesia,SFM Strengthening Community Based Forest and Watershed Management (SCBFWM),,,," 7,000,000 "," 42,450,000 ",6-May-09,,6-May-09,2009
5285,UNEP,Asia,Indonesia,"Strengthening Forest and Ecosystem Connectivity in RIMBA Landscape of Central Sumatra through Investing in Natural Capital, Biodiversity Conservation, and Land-based Emission Reductions (RIMBA project)",,,," 9,431,763 "," 40,640,872 ",12-Jul-16,,12-Jul-16,2016
3951,UNEP,Global,"Global (Chile, Indonesia, Nepal, Vietnam)",Expanding FSC Certification at Landscape-level through Incorporating Additional Eco-system Services.,,,," 2,880,000 "," 3,938,900 ",,,0-Jan-00,1900
3957,UNEP,Asia,"Regional (Indonesia, Cambodia, Philippines, Vietnam)",Removing Barriers to Invasive Species Management in Production and Protection Forests in SE Asia      ,,,," 3,081,045 "," 3,360,524 ",,,0-Jan-00,1900
9600,World Bank,Asia,Indonesia,Strengthening of Social Forestry in Indonesia,,,," 14,317,909 "," 95,113,572 ",,,0-Jan-00,1900
26,World Bank,Asia,Indonesia,Conservation of Elephant Landscapes in Aceh,,,," 716,985 "," 295,400 ",13-Oct-98,,13-Oct-98,1998
99,World Bank,Asia,Indonesia,Kerinci Seblat Integrated Conservation and Development,,,," 13,500,000 "," 25,500,000 ",27-May-98,,27-May-98,1998
1302,World Bank,Asia,Indonesia,Conservation of Key Forests in the Sangihe-Talaud Islands,,,," 815,500 "," 357,380 ",,,0-Jan-00,1900
1424,World Bank,Asia,Indonesia,Indonesia Forests and Media Project (INFORM),,,," 940,000 "," 292,055 ",,,0-Jan-00,1900
2077,World Bank,Asia,Indonesia,"Lambusango Forest Conservation, Sulawesi",,,," 975,000 "," 3,492,924 ",,,0-Jan-00,1900
2969,World Bank,Asia,Indonesia,"Partnerships for Conservation Management of the Aketajawe-Lolobata National Park, North Maluku Province",,,," 999,954 "," 1,085,596 ",,,0-Jan-00,1900
3929,World Bank,Asia,Indonesia,Promoting Sustainable Production Forest Management to Secure Globally Important Biodiversity,,,," 3,300,000 "," 8,000,000 ",,,0-Jan-00,1900
1475,World Bank,AFR,Liberia,Establishing the Basis for Biodiversity Conservation on Sapo National Park and in South-East Liberia,,,," 975,000 "," 1,439,000 ",,,0-Jan-00,1900
3837,World Bank,AFR,Liberia,SPWA B: Biodiversity Conservation through Expanding the Protected Area Network in Liberia (EXPAN),,,," 950,000 "," 9,288,000 ",22-Apr-10,,22-Apr-10,2010
9092,FAO,LAC,Peru,Sustainable Management of Agro-Biodiversity and Vulnerable Ecosystems Recuperation in Peruvian Andean Regions Through Globally Important Agricultural Heritage Systems GIAHS Approach,,,," 9,369,864 "," 79,431,874 ",,,0-Jan-00,1900
3933,IFAD,LAC,Peru,SFM Sustainable Management of Protected Areas and Forests of the Northern Highlands of Peru,,,," 1,720,000 "," 17,958,340 ",8-Jun-11,,8-Jun-11,2011
4773,IFAD,LAC,Peru,Conservation and Sustainable Use of High-Andean Ecosystems through Compensation of Environmental Services for Rural Poverty Alleviation and Social Inclusion ,,,," 5,354,545 "," 37,021,474 ",19-Jul-13,,19-Jul-13,2013
1061,Multi-Agency,LAC,Peru,Inka Terra: An Innovative Partnership for Self-Financing Biodiversity Conservation & Community Development,,,," 725,000 "," 11,365,584 ",,,0-Jan-00,1900
1446,UNDP,LAC,Peru,Conservation and Sustainable Use of B in the Peruvian Amazon by the Indigenous Ashaninka Population,,,," 975,000 "," 556,321 ",4-Mar-11,,4-Mar-11,2011
5080,UNDP,LAC,Peru,Transforming Management of Protected Area/Landscape Complexes to Strengthen Ecosystem Resilience,,,," 8,991,434 "," 50,712,678 ",2-Jun-14,,2-Jun-14,2014
9387,UNDP,LAC,Peru,Sustainable Productive Landscapes in the Peruvian Amazon,,,," 18,346,927 "," 129,000,000 ",25-Aug-17,,25-Aug-17,2017
538,World Bank,LAC,Peru,National Trust Fund for Protected Areas,,,," 5,000,000 "," 5,530,000 ",3-May-06,,3-May-06,2006
650,World Bank,LAC,Peru,Collaborative Management for the Conservation and Sustainable Development of the Northwest Biosphere Reserve,,,," 728,850 "," 680,000 ",27-Apr-04,,27-Apr-04,2004
651,World Bank,LAC,Peru,Indigenous Management of Protected Areas in the Amazon,,,," 10,000,000 "," 12,750,000 ",9-Jan-01,,9-Jan-01,2001
682,World Bank,LAC,Peru,Participatory Conservation and Sustainable Development with Indigenous Communities in Vilcabamba,,,," 727,075 "," 17,610,000 ",16-Jul-02,,16-Jul-02,2002
1101,World Bank,LAC,Peru,Participatory Management of Protected Areas,,,," 14,800,000 "," 7,980,000 ",8-Dec-09,,8-Dec-09,2009
2693,World Bank,LAC,Peru,Strengthening Biodiversity Conservation through the National Protected Areas Program,,,," 8,891,000 "," 21,824,000 ",6-Apr-10,,6-Apr-10,2010
4652,ADB,Asia,Regional,GMS Forest and Biodiversity Program (GMS-FBP) -  Creating Transboundary Links Through a Regional Support ,,,," 917,431 "," 30,738,000 ",15-May-14,,15-May-14,2014
5005,ADB,Asia,Vietnam,"Integrating Biodiversity Conservation, Climate Resilience and Sustainable Forest Management in Trung Truong Son  Landscapes ",,,," 3,794,954 "," 30,750,000 ",23-Oct-14,,23-Oct-14,2014
9267,ADB,Asia,Myanmar,Rural Productivity and Ecosystems Services Enhanced in Central Dry Zone Forest Reserves,,,," 4,787,000 "," 45,700,000 ",30-Aug-16,,30-Aug-16,2016
3980,ADB,Asia,Philippines,CTI Integrated Natural Resources and Environmental Management Sector ,,,," 3,530,000 "," 10,670,000 ",,,0-Jan-00,1900
2787,ADB,Asia,China,CBPF Shaanxi Qinling Mountains Integrated Ecosystem Development,,,," 4,270,000 "," 128,370,000 ",17-Jul-09,,17-Jul-09,2009
3483,ADB,Asia,China,PRC-GEF Partnership: Forestry and Ecological Restoration  in Three Northwest Provinces (formerly Silk Road Ecosystem Restoration Project),,,," 5,119,546 "," 176,660,000 ",3-Aug-10,,3-Aug-10,2010
3484,ADB,Asia,China,PRC-GEF Partnership- Capacity and Management Support for Combating Land Degradation in Dryland Ecosystems,,,," 2,727,455 "," 6,200,000 ",14-Oct-09,,14-Oct-09,2009
4649,Multi-Agency,Asia,Regional,Greater Mekong Subregion Forests and Biodiversity Program (GMS-FBP)(PROGRAM) ,,,,," 135,219,100 ",,,0-Jan-00,1900
4680,AfDB,AFR,Regional,"Lake Chad Basin Regional Program for the Conservation and Sustainable Use of Natural Resources and Energy Efficiency (PROGRAM) 
",,,,," 208,000,000 ",,,0-Jan-00,1900
5487,AfDB,AFR,Regional,Integrated Development for Increased Rural Climate Resilience in the Niger Basin,,,," 12,014,800 "," 61,000,000 ",27-Feb-17,,27-Feb-17,2017
8021,AfDB,AFR,Zambia,Zambia Lake Tanganyika Basin Sustainable Development Project,,,," 7,334,247 "," 22,490,000 ",14-Oct-16,,14-Oct-16,2016
9050,AfDB,AFR,Chad,Building Resilience For Food Security and Nutrition in Chad’s Rural Communities,,,," 5,329,452 "," 15,045,800 ",13-Sep-17,,13-Sep-17,2017
9161,AfDB,AFR,Nigeria,LCB-NREE: Nigeria Child Project: Comprehensive and Integrated Management of Natural Resources in Borno State,,,," 4,141,429 "," 31,697,500 ",19-Dec-16,,19-Dec-16,2016
9293,AfDB,AFR,Mali,"Scaling up a Multiple Benefits Approach to Enhance Resilience in Agro- and Forest Landscapes of Mali’s Sahel Regions (Kayes, Koulikoro and Ségou)",,,," 8,605,023 "," 60,208,841 ",,,0-Jan-00,1900
9383,AfDB,AFR,Benin,Sustainable Forest Management and Conservation Project in Central and South Benin,,,," 2,627,226 "," 15,930,000 ",,,0-Jan-00,1900
9476,AfDB,AFR,Chad,LCB-NREE Chad Child Project: Integrated Management of Natural Resources in the Chadian part of the Lake Chad Basin,,,," 2,557,942 "," 8,292,500 ",19-Dec-16,,19-Dec-16,2016
9497,AfDB,AFR,Niger,LCB-NREE Niger child project: Improving Sustainable Management of Natural Resources in Niger’s Diffa Region ,,,," 3,288,782 "," 20,661,500 ",28-Dec-16,,28-Dec-16,2016
9532,AfDB,AFR,Central African Republic,LCB-NREE CAR child project: Enhancing Agro-ecological Systems in Northern Prefectures of the Central African Republic (CAR),,,," 2,557,942 "," 3,394,500 ",16-Nov-16,,16-Nov-16,2016
9597,CI,LAC,Ecuador,Strengthening sustainable land and forest management governance in Ecuador as a tool to deliver multiple environmental benefits at broad scale,,,," 3,155,229 "," 12,457,332 ",,,0-Jan-00,1900
9434,CI,Asia,Timor Leste,Securing the Long-term Conservation of Timor Leste Biodiversity and Ecosystem Services through the Establishement of a functioning National Protected Area Network and the Improvement of Natural Resource Management in Priority Catchment Corridor,,,," 3,340,367 "," 14,100,000 ",,,0-Jan-00,1900
3821,FAO,AFR,Cameroon,CBSP Sustainable Community Based Management and Conservation of Mangrove Ecosystem in Cameroon,,,," 1,733,182 "," 3,700,000 ",,,0-Jan-00,1900
3984,FAO,AFR,"Regional (Cote d'Ivoire, Ghana)",SPWA-Development of a trans-frontier conservation area linking forest reserves and protected areas in Ghana and Cote d'Ivoire,,,," 859,090 "," 1,200,000 ",,,0-Jan-00,1900
4083,FAO,AFR,Congo,CBSP- Integrated management of mangrove and associated wetlands and coastal forests ecosystems of the Republic of Congo,,,," 950,002 "," 1,399,199 ",,,0-Jan-00,1900
4800,FAO,AFR,Cameroon,Sustainable Forest Management under the Authority of Cameroonian Councils,,,," 3,573,333 "," 17,850,000 ",15-Jan-15,,15-Jan-15,2015
5083,FAO,AFR,Kenya,"Capacity, Policy and Financial Incentives for PFM in Kirisia Forest and integrated Rangelands Management",,,," 2,823,439 "," 8,675,178 ",3-Aug-16,,3-Aug-16,2016
5516,FAO,AFR,Mozambique,Payment for Ecosystem Services to Support Forest Conservation and Sustainable Livelihoods,,,," 3,637,748 "," 37,600,000 ",21-Oct-16,,21-Oct-16,2016
9294,FAO,AFR,Mauritania,Integrated Ecosystem Management Program for the Sustainable Human Development in Mauritania,,,," 8,222,505 "," 23,150,000 ",,,0-Jan-00,1900
4744,FAO,Asia,Mongolia,"Mainstreaming Biodiversity Conservation, SFM and Carbon Sink Enhancement Into Mongolia's Productive Forest Landscapes",,,," 3,586,364 "," 19,785,000 ",25-Feb-14,,25-Feb-14,2014
5122,FAO,Asia,Solomon Islands,Integrated Forest Management in the Solomon Islands,,,," 5,676,454 "," 30,670,500 ",4-May-16,,4-May-16,2016
5123,FAO,Asia,Myanmar,Sustainable Cropland and Forest Management in Priority Agro-ecosystems of Myanmar,,,," 6,183,031 "," 13,611,707 ",6-Apr-15,,6-Apr-15,2015
5139,FAO,Asia,China,Sustainable Forest Management to Enhance the Resilience of Forests to Climate Change,,,," 7,152,728 "," 48,400,000 ",10-Apr-15,,10-Apr-15,2015
5397,FAO,Asia,Vanuatu,R2R: Integrated Sustainable Land and Coastal Management,,,," 4,605,680 "," 15,290,558 ",20-Sep-16,,20-Sep-16,2016
9243,FAO,Asia,India,Green-Ag: Transforming Indian Agriculture for Global Environmental Benefits and the Conservation of Critical Biodiversity and Forest Landscapes,,,," 33,558,716 "," 868,390,000 ",,,0-Jan-00,1900
9285,FAO,Asia,Afghanistan,Community-based Sustainable Land and Forest Management in Afghanistan,,,," 10,495,873 "," 54,257,233 ",,,0-Jan-00,1900
9554,FAO,Asia,Philippines,"Enhancing Biodiversity, Maintaining Ecosystem Flows, Enhancing Carbon Stocks through Sustainable Land Management and the Restoration of Degraded Forestlands",,,," 2,639,726 "," 49,408,334 ",,,0-Jan-00,1900
4761,FAO,ECA,Kyrgyz Republic,Sustainable Management of Mountainous Forest and Land Resources under Climate Change Conditions ,,,," 5,454,545 "," 19,000,150 ",25-Feb-14,,25-Feb-14,2014
9089,FAO,ECA,Serbia,Contribution of Sustainable Forest Management to a Low Emission and Resilient Development,,,," 3,274,658 "," 26,180,141 ",,,0-Jan-00,1900
9190,FAO,ECA,Uzbekistan,Sustainable Management of Forests in Mountain and Valley Areas ,,,," 3,187,023 "," 18,666,151 ",,,0-Jan-00,1900
9397,FAO,ECA,Turkey,Biodiversity Conservation and Sustainable Forest Management in Kaz Daglari,,,," 4,657,535 "," 28,700,000 ",,,0-Jan-00,1900
4774,FAO,LAC,Ecuador,"Conservation and Sustainable Use of Biodiversity, Forests, Soil and Water to Achieve the Good Living (Buen Vivir / Sumac Kasay) in the Napo Province",,,," 2,628,283 "," 12,320,504 ",18-Jul-14,,18-Jul-14,2014
4968,FAO,LAC,Chile,"Integrated National Monitoring and Assessment System on Forest Ecosystems (SIMEF) in Support of Policies, Regulations and SFM Practices Incorporating REDD+ and Biodiversity Conservation in Forest Ecosystems",,,," 6,293,684 "," 25,608,931 ",26-Jan-15,,26-Jan-15,2015
5410,FAO,LAC,Venezuela,Sustainable Forest Lands Management and Conservation under an Eco-social Approach,,,," 8,249,316 "," 25,730,000 ",14-Jul-15,,14-Jul-15,2015
9207,FAO,LAC,Bolivia,Sustainable management of forest and biodiversity within the framework of the Life Systems approach in harmony with Mother Earth,,,," 7,197,260 "," 26,366,830 ",,,0-Jan-00,1900
9786,FAO,LAC,Chile,Strengthening Management and Governance for the Conservation and Sustainable Use of Globally Significant Biodiversity in Coastal Marine Ecosystems in Chile ,,,," 4,233,562 "," 23,500,000 ",,,0-Jan-00,1900
3450,FAO,Asia,Iran,SFM Rehabilitation of Forest Landscapes and Degraded Land with Particular Attention to Saline Soils and Areas Prone to Wind Erosion,,,," 2,668,300 "," 8,338,835 ",29-Mar-11,,29-Mar-11,2011
3819,FAO,Asia,"Regional (Fiji, Niue, Vanuatu, Samoa)",PAS Forestry and Protected Area Management,,,," 6,283,750 "," 11,787,220 ",14-Mar-11,,14-Mar-11,2011
5551,FAO,Asia,Kiribati,"Resilient Islands, Resilient Communities",,,," 4,720,030 "," 13,340,000 ",,,0-Jan-00,1900
5578,FAO,Asia,Tonga,R2R Integrated Land and Agro-ecosystem Management Systems ,,,," 2,344,954 "," 7,170,000 ",20-Sep-16,,20-Sep-16,2016
2687,IADB,LAC,Guatemala,Improvement of Management Effectiveness in the Maya Biosphere Reserve (MBR),,,," 4,060,000 "," 3,820,000 ",,,0-Jan-00,1900
3132,IADB,LAC,Haiti,SFM Sustainable Land Management of the Upper Watersheds of South Western Haiti,,,," 3,436,364 "," 17,650,000 ",14-Sep-09,,14-Sep-09,2009
3889,IADB,LAC,Panama,Mainstreaming biodiversity conservation through low-impact ecotourism in the SINAP,,,," 4,000,000 "," 10,000,000 ",6-Apr-11,,6-Apr-11,2011
3981,IADB,LAC,Nicaragua,Integrated Mangement in Lakes Apanas and Asturias Watershed,,,," 4,040,909 "," 6,269,857 ",,,0-Jan-00,1900
4454,IADB,LAC,Jamaica,Integrated Management of the Yallahs River and Hope River Watersheds,,,,," 8,809,256 ",,,0-Jan-00,1900
1848,IFAD,AFR,Kenya,Mount Kenya East Pilot Project for Natural Resource Management (MKEPP),,,," 4,700,000 "," 1,063,000 ",,,0-Jan-00,1900
3390,IFAD,AFR,Swaziland,SIP-Lower Usuthu Smallholder Irrigation Project (LUSIP),,,," 1,972,820 "," 8,671,080 ",27-May-09,,27-May-09,2009
3915,IFAD,AFR,Sudan,Integrated Carbon Sequestration Project in Sudan,,,," 3,650,000 "," 10,950,000 ",,,0-Jan-00,1900
4494,IFAD,AFR,Sao Tome and Principe,Integrated Ecosystem Approach to Biodiversity Mainstreaming and Conservation in the Buffer Zones of the Obo National Park,,,," 2,418,182 "," 8,390,000 ",,,0-Jan-00,1900
9270,IFAD,Asia,Malaysia,Sustainable Management of Peatland Ecosystems in Malaysia (SMPEM),,,," 9,433,027 "," 52,711,000 ",,,0-Jan-00,1900
3717,IFAD,LAC,Ecuador,SFM Sustainable Management of Biodiversity and Water Resources in the Ibarra-San Lorenzo Corridor,,,," 2,700,000 "," 16,050,000 ",7-Mar-11,,7-Mar-11,2011
3963,IFAD,LAC,Venezuela,Promotion of Sustainable and Climate-Compatible Rural Development in Lara and Falcon States PROSALAFA-GEF:  ,,,," 3,635,000 "," 21,244,000 ",,,0-Jan-00,1900
4098,IFAD,LAC,Panama,Sustainable and climate-friendly development in Veraguas Province -Proyecto Participa,,,," 1,500,000 "," 12,450,000 ",,,0-Jan-00,1900
4149,IFAD,LAC,Mexico,"SFM Mitigating Climate Change through Sustainable Forest Management and Capacity Building in the Southern States of Mexico (States of Campeche, Chiapas and Oaxaca)",,,," 5,000,000 "," 12,039,357 ",,,0-Jan-00,1900
3932,IFAD,Asia,Jordan,Mainstreaming Biodiversity in Silvo-Pastoral and Rangeland Landscapes in the Pockets of Poverty of Jordan,,,," 1,000,000 "," 3,300,000 ",,,0-Jan-00,1900
2369,IFAD,Asia,China,PRC-GEF An IEM Approach to the Conservation of B in Dryland Ecosystems - under the PRC-GEF Partnership on LD in Dryland Ecosystem Program,,,," 4,545,000 "," 9,226,000 ",,,0-Jan-00,1900
3627,IFAD,Asia,Vietnam,SFM Promotion of Sustainable Forest and Land Management in the Vietnam Uplands,,,," 654,545 "," 4,989,500 ",,,0-Jan-00,1900
4953,IUCN,AFR,Regional,Mano River Union Ecosystem Conservation and International Water Resources Management (IWRM) Project,,,," 6,336,364 "," 56,390,642 ",28-Dec-16,,28-Dec-16,2016
9417,IUCN,AFR,Chad,Restoring Ecological Corridors in Western Chad for Multiple Land and Forests Benefits - RECONNECT,,,," 5,366,972 "," 9,152,707 ",,,0-Jan-00,1900
9232,IUCN,Asia,Regional,Sustainable Management of Peatland Ecosystems in Mekong Countries,,,," 2,786,458 "," 9,610,447 ",,,0-Jan-00,1900
9264,Multi-Agency,Global,Global,TRI The Restoration Initiative - Fostering Innovation and Integration in Support of the Bonn Challenge,,,," 54,133,704 "," 201,450,938 ",,,0-Jan-00,1900
1170,Multi-Agency,AFR,Tanzania,Conservation and Management of the Eastern Arc Mountain Forests,,,," 12,000,000 "," 33,300,000 ",17-Apr-03,,17-Apr-03,2003
1884,Multi-Agency,AFR,Madagascar,Third Environment Programme,,,," 13,500,000 "," 750,000 ",,,0-Jan-00,1900
3000,Multi-Agency,AFR,Tanzania,SFM Sustainable Woodland Management in the Miombo Areas of Western Tanzania,,,," 2,745,000 "," 9,000,000 ",,,0-Jan-00,1900
3449,Multi-Agency,Global,Global,"SFM: Carbon Benefits Project (CBP): Modeling, Measurement and Monitoring",,,," 5,526,265 "," 5,188,082 ",11-Feb-09,,11-Feb-09,2009
121,Multi-Agency,LAC,Honduras,Honduras Biodiversity Project,,,," 7,000,000 "," 34,500,000 ",26-Aug-97,,26-Aug-97,1997
243,Multi-Agency,LAC,Regional,Establishment of a Programme for the Consolidation of the Meso-American Biological Corridor,,,," 10,600,000 "," 12,766,000 ",13-Oct-99,,13-Oct-99,1999
1092,Multi-Agency,LAC,Regional,Integrated Ecosystem Management in Indigenous Communities,,,," 9,000,000 "," 34,620,100 ",16-Sep-08,,16-Sep-08,2008
1571,Multi-Agency,LAC,Regional,EcoEnterprises Fund,,,," 1,000,000 "," 23,000,000 ",,,0-Jan-00,1900
2505,Multi-Agency,LAC,"Regional (Argentina, Bolivia, Paraguay)",SFM Sustainable Forest Management in the Transboundary Gran Chaco American Ecosystem,,,," 6,909,091 "," 18,370,852 ",29-Sep-09,,29-Sep-09,2009
3623,Multi-Agency,LAC,Argentina,Establishment of Incentives for the Conservation of Ecosystem Services of Global Significance,,,," 2,905,000 "," 8,959,024 ",11-May-10,,11-May-10,2010
83,Multi-Agency,Asia,China,Nature Reserves Management,,,," 17,900,000 "," 5,700,000 ",15-May-95,,15-May-95,1995
84,Multi-Agency,Asia,India,India Ecodevelopment,,,," 20,000,000 "," 54,000,000 ",24-Aug-95,,24-Aug-95,1995
